TOKEN|MORPH ANALYSIS|UPOS
.|.|PUNC
Amalogifreyimu|a-ma-logifreyimu|N
kwesinye|ku-esi-nye|ADJ
isikhathi|i-si-khathi|N
abiza|a-biz-e|V
izinkomba|i-zin-khomb-a|V
'|'|PUNC
ngezinkomba|nge-zin-komba|ADV
eziqinisekiswe|ezi-qinisek-is-w-e|REL
ngokungachemi|nga-u-ku-nga-chem-i|ADV
'|'|PUNC
.|.|PUNC
Izinkomba|i-zin-khomb-a|V
kudingeka|ku-ding-ek-a|V
ziqondane|zi-qond-an-e|V
,|,|PUNC
zenele|zi-enel-e|V
,|,|PUNC
zicace|zi-cac-e|V
,|,|PUNC
zilinganiseke|zi-lingan-is-ek-e|V
,|,|PUNC
zibe|zi-b-e|V
nokonga|na-u-ku-ong-a|ADV
futhi|futhi|CONJ
zitholakale|zi-thol-akal-e|V
.|.|PUNC

Ama-CDW|a-ma-CDW|N
abantu|a-ba-ntu|N
bomphakathi|ba-u-m-phakathi|POSS
abayizinsinzakusebenza|aba-y-i-zin-sinzakusebenza|REL
abasebenza|aba-sebenz-a|REL
nomphakathi|na-u-m-phakathi|ADV
lapho|lapho|CONJ
bekhethwe|be-kheth-w-e|V
khona|khona|PRO
futhi|futhi|CONJ
ababika|aba-bik-a|REL
kuwo|ku-wo|PRO
ngomsebenzi|nga-u-mu-sebenzi|ADV
wabo|wa-bo|POSS
.|.|PUNC
Baxhaswe|ba-xhas-w-e|V
yiminyango|y-i-mi-nyango|COP
kahulumeni|ka-u-hulumeni|POSS
eyinhlobonhlobo|e-y-i-nhlobonhlobo|REL
,|,|PUNC
ikakhulukazi|i-ka-khulukazi|N
owohulumeni|o-wa-u-hulumeni|REL
basekhaya|ba-s-e-khaya|POSS
.|.|PUNC

Umjikelezo|u-m-jikelezo|N
Wokulethwa|w-okulethwa|POSS
kwemisebenzi|kwa-i-mi-sebenzi|POSS
ukhonjisiwe|u-khonjisiw-e|V
kuthebula|ku-thebula|N
ekhasini|e-i-li-khasi-ini|N
lama-28|la-a-ma-28|POSS
.|.|PUNC
Likhombisa|li-khomb-is-a|V
amazinga|a-ma-zinga|N
omjikelezo|um-jikelezo|N
kanye|ka-nye|ADV
nemisebenzi|na-i-mi-sebenzi|ADV
yamazinga|ya-a-ma-zinga|POSS
ahlukahlukene|a-hlukahluken-e|REL
kahulumeni|ka-u-hulumeni|POSS
.|.|PUNC
Izinga|i-li-zinga|N
lokunikezela|lo-ku-nikezel-a|POSS
kwemisebenzi|kwa-i-mi-sebenzi|POSS
yilapho|yi-lapho|COP
kwenzeka|ku-enz-ek-a|V
khona|kho-na|PRO
ukusebenza|u-ku-sebenz-a|V
kanye|ka-nye|ADV
nokugcinwa|no-ku-gcinwa|ADV
,|,|PUNC
okungukunikezelwa|oku-ngu-ku-nikez-el-w-a|REL
kwemisebenzi|kwa-i-mi-sebenzi|POSS
ngokwempela|nga-u-kwe-m-pela|ADV
.|.|PUNC

Ukuvikela|u-ku-vik-el-a|V
izindawo|i-zin-dawo|N
zemvelo|ze-m-velo|POSS
ngazo|nga-zo|ADV
zonke|zo-nke|PRO
izindlela|i-zin-dlela|N
,|,|PUNC
ukushiyela|u-ku-shiyela|N
izizukulwane|i-zi-zukulwane|N
ezizayo|ezi-z-a-yo|REL
okungenani|oku-nga-nani|REL
isipho|i-si-pho|N
esiyinani|esi-yi-nani|REL
elilinganayo|eli-lingan-a-yo|REL
.|.|PUNC

I-MFMA|i-MFMA|N
,|,|PUNC
ka-2003|ka-2003|NUM
idinga|i-ding-a|V
ukuthi|ukuthi|CONJ
isabelomali|i-si-abelomali|N
sikamasipala|si-ka-masipala|POSS
sihambisane|si-hamb-is-an-e|V
ne-IDP|na-i-IDP|ADV
.|.|PUNC
Ukuxhumanisa|u-ku-xhuman-is-a|V
isabelomali|i-si-abelomali|N
sikamasipala|si-ka-masipala|POSS
ne-IDP|na-i-IDP|ADV
kuqinisekisa|ku-qinisek-is-a|V
ukuthi|ukuthi|CONJ
amakhansela|a-ma-khansela|N
azibophezela|a-zi-bophez-el-a|V
kumiphakathi|ku-mi-phakathi|N
yawo|ya-wo|POSS
kanye|ka-nye|ADV
nokuthi|na-ku-th-i|ADV
izidingo|i-zi-dingo|N
zalabo|za-labo|POSS
abamelwe|aba-mel-w-e|REL
yiwo|y-iwo|N
kuyabhekwana|ku-ya-bhek-w-an-a|V
nazo|na-zo|ADV
ukuze|ukuze|CONJ
lezo|lezo|CDEM
zidingo|zi-dingo|N
zibe|zi-b-e|V
ngezangempela|nga-za-nge-m-pela|ADV
.|.|PUNC
Okuphambili|o-kuphambili|N
ohlwini|o-u-lu-hlu-ini|REL
lokubalulekile|lo-ku-balulek-ile|POSS
okuhlonzwe|oku-hlonz-w-e|REL
ku-IDP|ku-IDP|N
kumele|ku-mel-e|V
kuboshelelwe|ku-boshelel-w-e|V
kuzindleko|ku-zi-n-dleko|N
zekhephithali|za-ikhephithali|POSS
kusabelomali|ku-sabelomali|N
sikamasipala|si-ka-masipala|POSS
.|.|PUNC

Umthethosisekelo|u-mu-thethosisekelo|N
waseNingizimu|wa-s-e-i-Ningizimu|POSS
Afrika|Afrika|N
unikeza|u-nikez-a|V
uhlaka|u-hlaka|N
olulingene|olu-lingen-e|REL
okulona|oku-lona|REL
yonke|yo-nke|PRO
imiyalo|i-mi-yalo|N
nemithetho|ne-i-mi-thetho|COP
okufanele|oku-fanel-e|REL
yenziwe|y-enz-iw-e|COP
.|.|PUNC
Unikeza|U-nikez-a|V
amalungelo|a-ma-lungelo|N
,|,|PUNC
ukukhululeka|u-ku-khulul-ek-a|V
,|,|PUNC
amandla|a-ma-ndla|N
nokuvikeleka|no-ku-vik-el-ek-a|ADV
kwabo|kwa-bo|POSS
bonke|bo-nke|PRO
abantu|a-ba-ntu|N
ezweni|e-zw-ini|N
.|.|PUNC
Ubeka|u-bek-a|V
izimbulunga|i-zi-m-bulu-nga|N
ezintathu|ezin-thathu|ADJ
zikahulumeni|zi-ka-u-hulumeni|N
zezwe-Uhulumeni|ze-zwe-u-hulumeni|POSS
kuzwelonke|ku-zwelonke|N
,|,|PUNC
esifundazweni|esi-fundazw-ini|REL
nowendawo|no-we-n-dawo|ADV
.|.|PUNC
Umthethosisekelo|u-mu-thethosisekelo|N
ubophezela|u-boph-ezel-a|V
uhulumeni|u-hulumeni|N
wendawo|we-n-dawo|POSS
ukuba|ukuba|CONJ
uthathe|u-thath-e|V
indima|i-n-dima|N
egunyeni|e-guny-ini|N
lokuthuthukisa|lo-ku-thuthuk-is-a|POSS
ngokunikeza|nga-u-ku-nikez-a|ADV
imisebenzi|i-mi-sebenzi|N
ethile|e-thile|REL
yokuthuthukisa|yoku-thuthuk-is-a|V
kuhulumeni|ku-hulumeni|N
wendawo|we-n-dawo|POSS
.|.|PUNC

Ukulawulwa|u-ku-lawul-w-a|V
kwezinguquko|kwa-i-zin-guquko|POSS
jikelele|jikelele|IDEO
:|:|PUNC
Ukubheka|u-ku-bhek-a|V
umthelela|u-mu-thel-el-a|V
kanye|kanye|CONJ
nezinguquko|na-i-zin-guquko|N
ezihlanganisiwe|ezi-hlangan-is-iw-e|REL
emaphuzwini|e-ma-phuzu-ini|N
asemqoka|a-s-e-m-qoka|REL
nokuthi|na-ku-th-i|ADV
yini|yini|INT
okumele|oku-m-el-e|REL
yenziwe|i-enz-iw-e|V
ngazo|nga-zo|ADV
.|.|PUNC

Ukwenza|u-ku-enz-a|V
umbono|u-mu-bono|N
kwenza|ku-enz-a|V
umphakathi|u-mu-phakathi|N
ukwazi|u-ku-az-i|V
ukukhuluma|u-ku-khulum-a|V
ngezifiso|nga-i-zi-fiso|ADV
zawo|za-wo|POSS
zezentuthuko|za-za-n-tuthuko|POSS
.|.|PUNC
Kuyindlela|ku-yi-n-dlela|N
enamandla|e-na-a-ma-ndla|REL
ikakhulukazi|i-ka-khulukazi|N
uma|uma|CONJ
,|,|PUNC
njengoba|njengoba|CONJ
kuvela|ku-vela|N
emsebenzini|e-mu-sebenzi-ini|N
olandelayo|o-landel-a-yo|V
,|,|PUNC
kususelwa|ku-suselwa|N
ekubuyekezweni|e-ku-buyekezwa-ini|N
kwempahla|kwa-i-n-pahla|POSS
nezidingo|na-i-zi-dingo|ADV
.|.|PUNC
Lokhu|lokhu|CDEM
kukhuthaza|ku-khuthaza|N
umphakathi|u-mu-phakathi|N
ukuba|ukuba|CONJ
wenze|u-enz-e|V
umbono|u-mu-bono|N
ofanele|o-fanel-e|REL
nonokufezeka|no-noku-fezek-a|ADV
kanye|ka-nye|ADV
nezinyathelo|na-i-zin-yathelo|ADV
zokufinyelela|za-u-ku-finyelel-a|POSS
embonweni|e-mbono-ini|N
.|.|PUNC

Muningi|Mu-ningi|N
umsebenzi|u-mu-sebenzi|N
okumele|oku-m-el-e|REL
wenziwe|u-enz-iw-e|V
ukugcizelela|u-ku-gcizelel-a|V
imisebenzi|i-mi-sebenzi|N
izakhamuzi|i-zi-akhamuzi|N
ezinayo|ezi-na-yo|REL
entuthukweni|e-ntuthuko-ini|N
yazo|ya-zo|POSS
nasekusebenzisaneni|na-s-e-ku-sebenz-is-an-ini|ADV
nabanye|na-aba-nye|ADV
emphakathini|e-mu-phakathi-ini|N
ukusombulula|u-ku-sombulul-a|V
izinkinga|i-zin-kinga|N
nezinselelo|na-i-zin-selelo|ADV
.|.|PUNC
Isiqubulo|i-si-qubulo|N
esithi|esi-th-i|REL
,|,|PUNC
"|"|PUNC
hlala|hlal-a|V
ubukele|u-buk-el-e|V
,|,|PUNC
uhulumeni|u-hulumeni|N
uzosebenza|u-zo-sebenz-a|V
"|"|PUNC
kumele|ku-mel-e|V
siphikiswe|si-phikis-w-e|V
-|-|PUNC
asisilo|a-si-si-lo|PRO
iqiniso|i-qiniso|N
futhi-ke|futhi-ke|ADV
asihambisani|a-si-hamb-is-an-i|V
nendlela|na-n-dlela|ADV
yaseNingizimu|ya-s-e-Ningizimu|POSS
Afrika|Afrika|N
yokubusa|ya-u-ku-bus-a|POSS
.|.|PUNC

Yini|yini|INT
imiphumela|i-mi-phumela|N
yohlelo|ya-u-hlelo|POSS
mayelana|mayelana|ADV
nokuthuthukiswa|na-u-ku-thuthuk-is-w-a|ADV
kwezinsiza|kwa-i-zin-siza|POSS
zabasebenzi|za-a-ba-sebenzi|POSS
kanye|kanye|CONJ
nokwakhiwa|na-u-ku-akh-iw-a|ADV
kwamandla|kwa-a-ma-ndla|POSS
abesifazane|a-be-si-fazane|N
?|?|PUNC
Abesilisa|a-be-si-lisa|N
bona|bo-na|PRO
?|?|PUNC
Kungabe|kungabe|CONJ
isimo|i-si-mo|N
sabesifazane|sa-a-be-si-fazane|POSS
kanye|kanye|CONJ
nezinga|na-i-zinga|ADV
labo|la-bo|POSS
lithuthukisiwe|li-thuthuk-is-iw-e|V
njengomphumela|njenga-u-mphumela|ADV
wohlelo|wa-u-hlelo|POSS
?|?|PUNC

Ukhetho|u-khetho|N
oluvamile|olu-vam-ile|REL
,|,|PUNC
olukhululekile|olu-khululek-il-e|REL
,|,|PUNC
olufanele|olu-fan-el-e|REL
kanye|ka-nye|ADV
nolukholekayo|no-lu-kholek-a-yo|ADV
oluphethwe|olu-pheth-w-e|REL
isiphathimandla|i-si-phathimandla|N
sokhetho|so-u-khetho|POSS
esingachemile|esi-nga-chem-il-e|REL
sinikeza|si-nikez-a|V
izakhamizi|i-zakhamizi|N
ithuba|i-thuba|N
lokwenza|lo-u-ku-enz-a|V
ukhetho|u-khetho|N
.|.|PUNC

UMSEBENZI|u-mu-sebenzi|N
2|2|NUM
Iqembu|i-li-qembu|N
lixoxa|li-xox-a|V
ngezingxenye|nga-i-zi-ngxenye|ADV
ezibalulekile|ezi-balulek-il-e|REL
zohlelo|za-u-lu-hlelo|POSS
lwesigceme|lwa-si-gceme|POSS
zihlonze|zi-hlonz-e|V
namazinga|na-a-ma-zinga|ADV
azokwakha|a-zo-ku-akh-a|V
uhlelo|u-lu-hlelo|N
.|.|PUNC

Acela|a-cel-a|V
inselele|i-n-selele|N
abuye|a-buy-e|V
acele|a-cel-e|V
nocwaningo|na-u-lu-cwaningo|ADV
uma|uma|CONJ
ezwa|e-zw-a|V
ukuthi|ukuthi|CONJ
kunokumoshwa|ku-no-ku-mosh-w-a|V
kwezimali|kwa-i-zi-mali|POSS
zikamasipala|zi-ka-masipala|POSS
.|.|PUNC

Ababambe|aba-bamb-e|REL
iqhaza|i-li-qhaza|N
bayehlukana|ba-ye-hluk-an-a|V
babe|ba-be|V
ngamaqembu|ng-a-ma-qembu|COP
amancane|ama-ncane|ADJ
babhekane|ba-bhek-an-e|V
nezinto|na-i-zi-nto|ADV
ezintathu|ezin-thathu|ADJ
zezentuthuko|za-za-n-tuthuko|POSS
eziqhakanjiswe|ezi-qhakambis-w-e|REL
emsebenzini|e-mu-sebenzi-ini|N
owandulela|o-wa-andulel-a|REL
lona|lo-na|PRO
.|.|PUNC

Ababambe|aba-bamb-e|REL
iqhaza|i-li-qhaza|N
bazejwayeza|ba-zi-jwayez-a|V
leso|leso|CDEM
naleso|na-leso|ADV
sinyathelo|si-nyathelo|N
sokwakha|sa-u-ku-akh-a|POSS
uhlelo|u-hlelo|N
lwesigceme|lwa-si-gceme|POSS
wadi|wadi|N
bedlala|be-dlal-a|V
izindawo|i-zin-dawo|N
abaqokelwe|aba-qok-el-w-e|REL
zona|zona|PRO
.|.|PUNC
Abagqugquzeli|a-ba-gqugquzeli|N
bagqugquzela|ba-gqugquzel-a|V
inqubo|i-n-qubo|N
,|,|PUNC
amaqembu|a-ma-qembu|N
abhala|a-bhal-a|V
imininingwane|i-mi-niningwane|N
yawo|ya-wo|POSS
kwifliphushadi|ku-i-fliphushadi|N
lelo|lelo|CDEM
nalelo|na-lelo|ADV
qembu|qembu|N
licelwa|li-cel-w-a|V
ukuba|ukuba|CONJ
lenze|li-enz-a|V
isethulo|i-si-ethulo|N
emhlanganweni|e-m-hlangano-ini|N
wezingxoxo|wa-i-zi-ngxoxo|POSS
.|.|PUNC

Hola|hol-a|V
ingxoxo|i-ngxoxo|N
ngalo|nga-lo|ADV
msebenzi|mu-sebenzi|N
uxoxe|u-xox-e|V
ngezimpendulo|nga-i-zi-mpendulo|ADV
zababambe|za-a-ba-bamb-e|POSS
iqhaza|i-li-qhaza|N
kanye|kanye|CONJ
nokuthi|na-ku-th-i|ADV
bangazisebenzisa|ba-nga-zi-sebenz-is-a|V
yini|yini|INT
iziphakamiso|i-zi-phakamiso|N
zabo|za-bo|POSS
ohlwini|o-hlu-ini|N
lokuhlola|lwa-u-ku-hlol-a|POSS
bese|be-se|V
ubonisa|u-bon-is-a|V
ezinye|ezi-nye|REL
izindlela|i-zin-dlela|N
ezingasetshenziswa|ezi-nga-sebenz-is-w-a|REL
ukufeza|u-ku-fez-a|V
ukubamba|u-ku-bamb-a|V
iqhaza|i-li-qhaza|N
komphakathi|ko-u-mu-phakathi|POSS
.|.|PUNC

Izinkomba|i-zin-komba|N
zomphumela|za-u-m-phumela|POSS
zilinganisa|zi-lingan-is-a|V
'|'|PUNC
lokho|lokho|CDEM
okuqhamuke|oku-qhamuk-e|REL
kwiprojekthi|ku-i-projekthi|N
'|'|PUNC
.|.|PUNC
Izinkomba|i-zin-komba|N
kumele|ku-mel-e|V
zinqunywe|zi-n-qum-w-e|V
yimiphakathi|yi-mi-phakathi|COP
ethintekayo|e-thint-ek-a-yo|REL
.|.|PUNC
Izinkomba|i-zin-komba|N
ziba|zi-ba|V
nengqondo|na-i-ngqondo|ADV
kuphela|ku-phela|ADV
uma|uma|CONJ
zihambisana|zi-hamb-is-an-a|V
nabantu|na-a-ba-ntu|ADV
abathintekayo|aba-thint-ek-a-yo|REL
.|.|PUNC

Inani|i-li-nani|N
labantu|la-a-ba-ntu|POSS
elivela|eli-vel-a|REL
kumaqembu|ku-a-ma-qembu|N
okuqondiswe|o-ku-qond-is-w-e|REL
kuwo|ku-wo|PRO
mayelana|mayela-ana|N
nokuqashwa|no-ku-qash-w-a|ADV
ngokulingana|nga-u-ku-lingana|ADV
aqashwe|a-qash-w-e|V
kumazinga|ku-ma-zinga|N
ezokulawula|e-zoku-lawul-a|V
aphezulu|a-phezulu|REL
amathathu|ama-thathu|ADJ
ngokuhambisana|nga-u-ku-hamb-is-an-a|ADV
nohlelo|na-u-lu-hlelo|ADV
lokuqashwa|lo-ku-qash-w-a|POSS
ngokulingana|nga-u-ku-lingana|ADV
olwamukelwe|olu-amukel-w-e|V
ngumasipala|ng-u-masipala|COP
.|.|PUNC

Aqinisekisa|a-qinisek-is-a|V
ukuthi|ukuthi|CONJ
amalungu|a-ma-lungu|N
omphakathi|a-u-mu-phakathi|POSS
ayaqonda|a-ya-qond-a|V
mayelana|mayela-ana|N
nesabelomali|na-i-sabelomali|N
kafuphi|ka-fuphi|N
kanye|ka-nye|ADV
nemicikilisho|na-i-mi-cikilisho|ADV
okuqondene|oku-qond-an-il-e|REL
nesigceme|ne-si-gceme|ADV
.|.|PUNC

Imihlahlandlela|i-mi-hlahlandlela|N
ayiwona|a-yi-wona|COP
imthetho|imi-thetho|N
,|,|PUNC
kodwa|kodwa|CONJ
iwuhlaka|i-wu-hlaka|N
olungasiza|olu-nga-siz-a|REL
omasipala|o-masipala|N
ukwakha|u-ku-akh-a|V
Amakomiti|a-ma-komiti|N
Amawadi|a-ma-wadi|N
.|.|PUNC
Omasipala|o-masipala|N
bendawo|ba-i-n-dawo|POSS
bahlukile|ba-hluk-il-e|V
futhi|futhi|CONJ
badinga|ba-ding-a|V
ukuba|ukuba|CONJ
nekhono|na-i-li-khono|ADV
lokwazi|la-u-ku-az-i|POSS
ukuthola|u-ku-thol-a|V
izinxazululo|i-zin-xazululo|N
zezinkinga|z-i-zin-kinga|POSS
abahlangabezana|aba-hlangabez-an-a|REL
nazo|na-zo|ADV
emphakathini|e-mu-phakathi-ini|N
wabo|wa-bo|POSS
.|.|PUNC
Omasipala|o-masipala|N
kufanele|ku-fan-el-e|V
babhale|ba-bhal-e|V
inqubomgomo|i-n-qubomgomo|N
yamakomodi|ya-ma-komodi|POSS
yamawadi|ya-ma-wadi|POSS
izokwazi|i-zo-ku-az-i|V
ukuvunyelwa|u-ku-vunyelwa|N
Umkhandlu|u-mu-khandlu|N
Kumasipala|ku-masipala|N
.|.|PUNC

Kungabe|kungabe|CONJ
Ikomidi|i-komidi|N
Lesigceme|le-si-gceme|POSS
linazo|li-na-zo|ADV
izindlela|i-zin-dlela|N
zokugqugquzela|za-u-ku-gqugquzel-a|POSS
ngamandla|nga-a-ma-ndla|ADV
ukubandakanywa|u-ku-bandakany-w-a|V
kwabesifazane|kwa-a-be-si-fazane|POSS
kwiKomidi|ku-i-komidi|N
Lesigceme|le-si-gceme|POSS
kanye|kanye|CONJ
nasemaqhingeni|na-s-e-ma-qhinga-ini|ADV
ukwandisa|u-ku-and-is-a|V
ukumeleleka|u-ku-melel-ek-a|V
kwabo|kwa-bo|POSS
emazingeni|e-ma-zinga-ini|N
okuthathwa|oku-thath-w-a|REL
kwezinqumo|kwa-i-zin-qumo|POSS
?|?|PUNC
Yiziphi|yi-zi-phi|COP
lezo|lezo|CDEM
zindlela|zin-dlela|N
?|?|PUNC

Uhlelo|u-hlelo|N
LukaZwelonke|lu-ka-zwelonke|POSS
Lwezentuthuko|lwa-i-za-i-ntuthuko|POSS
luhlose|lu-hlos-e|V
ukulwa|u-ku-lw-a|V
nobuphofu|na-u-bu-phofu|ADV
nokunciphisa|na-u-ku-nciphis-a|ADV
ukungalingani|u-ku-nga-lingan-i|V
ngonyaka|nga-nyaka|ADV
wezi-2030|wa-i-zi-2030|POSS
.|.|PUNC
INingizimu|i-Ningizimu|N
Afrika|Afrika|N
ingazifeza|i-nga-zi-fez-a|V
lezi|lezi|CDEM
zinhloso|zi-nhloso|N
ngokubheka|nga-u-ku-bhek-a|ADV
amandla|a-ma-ndla|N
abantu|a-ba-ntu|N
bayo|ba-yo|POSS
,|,|PUNC
ukukhulisa|u-ku-khul-is-a|V
umnotho|u-mnotho|N
wabantu|wa-a-ba-ntu|POSS
bonke|bo-nke|PRO
,|,|PUNC
ukwakha|u-ku-akh-a|V
ukukwazi|u-ku-ku-azi|V
ukusebenza|u-ku-sebenz-a|V
,|,|PUNC
